short_window,long_window,signal_window,strategy_type,trailing_stop,total_return,win_rate,profit_factor,max_drawdown,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,total_trades
8,21,5,reversal,0.01,0.1382150031059371,0.3359621451104101,1.0072845160188253,0.502440733593876,0.4872696290034456,0.6852354298047901,0.27589302884426126,1.0065713899953963,6340
8,21,5,reversal,0.03,0.09788216822158283,0.3362776025236593,1.0051214743308803,0.5363515672522765,0.4456310442497117,0.6257388000303815,0.18302148901189685,1.0060001139960957,6340
8,21,5,reversal,0.02,0.08471440645654783,0.3359621451104101,1.0044498975046707,0.5442603468127132,0.42714852392681024,0.6001033377678302,0.15609580348166752,1.0057522690990925,6340
8,26,5,reversal,0.03,0.0019205922154842483,0.3260372427311336,1.0001106225714789,0.6148366661252527,0.31562885545492964,0.4427929355938344,0.0031323337584948092,1.004246519384536,6122
8,26,5,reversal,0.02,0.0027760059728654594,0.32554720679516497,1.00015887534791,0.61370404913738,0.31474731434294667,0.4419016965067461,0.004535806748489131,1.0042362772121587,6122
8,26,5,reversal,0.01,0.009600981530570062,0.32538386148317544,1.0005636460754734,0.5895845534161033,0.30813863791297674,0.4328431917658476,0.016329268400155215,1.0041517860328923,6122
12,21,9,reversal,0.03,-0.05267814092580629,0.3312615101289134,0.9951368299030228,0.6075043867409338,0.23535770997982172,0.33079017159719426,-0.0869441788881766,1.003164154909174,4344
12,21,9,reversal,0.02,-0.0953297393565439,0.3314917127071823,0.9911043500435528,0.602381580853599,0.1627749450088786,0.2282252513931534,-0.15866803218904632,1.002190134093014,4344
12,21,9,reversal,0.01,-0.15587039041120423,0.3298802946593002,0.9847955304342779,0.5956100069206712,0.019539392777427434,0.027089636934307663,-0.26235834899547567,1.0002672553887435,4344
8,21,13,reversal,0.03,-0.1880237633388303,0.32942238267148016,0.9826008806005094,0.647406255778597,0.01614182994350752,0.022660966168554873,-0.29114369709689353,1.000216689973392,4432
12,21,5,reversal,0.03,-0.20995990596049413,0.32697893972403774,0.9849311087153572,0.6528863411277607,-0.022080013019939986,-0.031015262561341603,-0.32237043132426935,0.9997036056377593,5508
8,21,5,buy_sell,0.03,-0.10196667271553451,0.33817034700315457,0.990251864359612,0.48043818307282443,-0.029611016217633884,-0.030155608491543844,-0.21278901568375683,0.9994423133875093,3170
8,21,13,reversal,0.02,-0.23874736574667432,0.32942238267148016,0.9775307677401173,0.6496928324908365,-0.08572813604042064,-0.12005432456234187,-0.3683550754285124,0.9988486479174858,4432
8,26,13,reversal,0.03,-0.24726822833938478,0.3196487897484575,0.9743163698361819,0.6380170495077329,-0.09334901036075594,-0.1309624520181482,-0.3884776926035235,0.998747951120775,4214
12,21,5,reversal,0.02,-0.2562517697116031,0.32625272331154687,0.9815759800377075,0.666000803673839,-0.11371507509052954,-0.15968016730755338,-0.3856698615077103,0.9984726077080611,5508
8,26,5,buy_sell,0.03,-0.140401571052243,0.3270173146030709,0.9856836792311722,0.5034738493393613,-0.12087533428978249,-0.12301806738495553,-0.2795751425086445,0.9977245273010495,3061
12,21,5,reversal,0.01,-0.24627797263354959,0.3266158315177923,0.9811250081854719,0.6476803557642127,-0.1364240630246418,-0.19131739983519996,-0.38114972242170503,0.9981585065814444,5508
12,21,13,reversal,0.03,-0.27024458060821255,0.3331573389651531,0.9689594449599122,0.6248391197263372,-0.1385394640161315,-0.1933410501353182,-0.4335130593176025,0.998143114432393,3788
16,21,9,reversal,0.03,-0.2783833717157215,0.3272450532724505,0.9685939846259192,0.6412431579296405,-0.1543251980980445,-0.21618464966531944,-0.43513896321073925,0.9979321998583005,3942
8,21,5,buy_sell,0.02,-0.1562686169238881,0.33753943217665616,0.9848009456295524,0.5165865660328951,-0.16212269013147773,-0.16496477820534752,-0.30326455002201685,0.9969484542846588,3170
8,26,13,reversal,0.02,-0.2790958460402745,0.3198860939724727,0.9706233943537068,0.6341265937919282,-0.16562961987168126,-0.23193661888355174,-0.4411479920182199,0.9977760323817284,4214
12,21,13,reversal,0.02,-0.2900059679407923,0.3328933474128828,0.9664990635540007,0.6198874494002692,-0.19189563099827134,-0.2679836214944101,-0.46891368600524425,0.9974251168709809,3788
