short_window,long_window,signal_window,strategy_type,trailing_stop,total_return,win_rate,profit_factor,max_drawdown,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,total_trades
16,26,13,buy_sell,0.01,1.702664198304549,0.3629441624365482,1.2454183361530213,0.25505137485678314,2.598963525607673,2.256709453655809,6.67576953568916,1.0574289088842184,1576
12,34,13,buy_sell,0.01,1.617881509821129,0.3563218390804598,1.2326689982216308,0.28600912136910533,2.4985013512450354,2.1971957711987846,5.656747945927197,1.055035096078799,1653
16,34,9,buy_sell,0.01,1.4639832519662832,0.34898550724637684,1.217437653164743,0.27813773903788047,2.3426588692422934,2.067764867014132,5.263518920626944,1.0515207564515798,1725
16,26,13,buy_sell,0.02,1.576726366787364,0.36484771573604063,1.2212680995140661,0.29406114936293304,2.2572949006393657,1.9576044122654228,5.361899625990216,1.0496615174535506,1576
16,26,13,buy_sell,0.03,1.5306640539399592,0.36484771573604063,1.2147360684417259,0.29361635068338393,2.1614368675097033,1.8696287509700318,5.213143104521873,1.0477047375667785,1576
8,34,13,buy_sell,0.01,1.300958135322721,0.34465780403741997,1.1842262773755472,0.328792717370827,2.1523427282646814,1.9217358253109253,3.9567729654286805,1.0469980214417272,2031
12,34,13,buy_sell,0.02,1.433297529931816,0.3563218390804598,1.2089187693739485,0.31586394450738514,2.127768413484383,1.8582765572925344,4.53770541036951,1.0468790497096057,1653
12,34,9,buy_sell,0.01,1.2453397710682754,0.3455734406438632,1.1838051301593797,0.33553305635481434,2.1148095940519935,1.879459562385827,3.7115263235088607,1.0459168407644,1988
16,21,13,buy_sell,0.01,1.1931056189386047,0.35377358490566035,1.1912846117081588,0.3383126849753728,2.091788315477481,1.818061492466316,3.526635777861701,1.04572624126736,1696
16,26,9,buy_sell,0.01,1.2075159036381076,0.3466666666666667,1.1794708083797019,0.34711973680300373,2.084712118343859,1.8376222367550723,3.4786725605389384,1.045556825860781,1875
12,26,13,buy_sell,0.01,1.1981778037940802,0.3496386881600889,1.1838466511733592,0.3668621513504962,2.081702385425574,1.827971096153793,3.2660164025733853,1.0456263984286023,1799
16,34,13,buy_sell,0.01,1.1529158755404998,0.3490566037735849,1.1825633628465149,0.3093363665748224,2.0731664629229,1.7787027193190956,3.727062188989771,1.0456364416053057,1484
8,26,9,buy_sell,0.01,1.448216687286437,0.34236054971705737,1.1714670919394576,0.28015303116994794,2.0563073397641185,2.1009225847580493,5.169377183743238,1.050636434476365,2474
16,34,9,buy_sell,0.02,1.348300894549497,0.35130434782608694,1.2021098274689144,0.30911969227689595,2.0460807938448533,1.7908954284367111,4.361743778334729,1.0450973204177467,1725
12,34,13,buy_sell,0.03,1.3841938685408026,0.3569267997580157,1.2018541402354035,0.31186676185972917,2.0320335192523866,1.7691706816185666,4.438414213449853,1.0449065473732555,1653
12,26,9,buy_sell,0.01,1.12743448788069,0.33964945523448603,1.167385045012762,0.3719918343586538,1.9684432918247454,1.7496143897237992,3.030804398769894,1.0431308635086285,2111
16,34,9,buy_sell,0.03,1.2773638439493458,0.3501449275362319,1.1914940612121916,0.3051894293548047,1.9327137910322651,1.6860391432240454,4.185478660416899,1.0427208166666022,1725
12,21,9,buy_sell,0.01,1.0349364877660907,0.3433979269941415,1.1585146192474352,0.41754549950266123,1.8720667527256682,1.6569831536955963,2.478619668991294,1.0405819527331581,2219
