metric,value
start,2023-01-01 00:00:00
end,2023-06-30 23:50:00
period_start,16707
period_end,26062
start_value,10000
end_value,12225.277452843255
total_return,0.22252774528432548
benchmark_return,0.844758402668073
max_gross_exposure,1.8828950974087408
total_fees_paid,0
max_drawdown,0.21181067227710323
max_drawdown_duration,64 days 23:10:00
total_trades,2088
total_closed_trades,2088
total_open_trades,0
open_trade_pnl,0
win_rate,0.3424329501915709
best_trade,8.601058952181395
worst_trade,-2.850994889412429
avg_winning_trade,0.6121068584550294
avg_losing_trade,-0.3001221414911841
avg_winning_trade_duration,0 days 03:26:46.993006993
avg_losing_trade_duration,0 days 01:22:06.729788783
profit_factor,1.0432801421233395
expectancy,1.0657459065341364
sharpe_ratio,1.1051394142916127
calmar_ratio,2.3744734564710206
omega_ratio,1.0161794079145754
sortino_ratio,1.587289291040082
exit_reasons_signal,2085
exit_reasons_trailing_stop,2
exit_reasons_end_of_data,1
