metric,value
start,2024-07-01 00:00:00
end,2024-12-31 23:50:00
period_start,24426
period_end,26494
start_value,10000
end_value,12528.90479043334
total_return,0.252890479043334
benchmark_return,0.4929738512226778
max_gross_exposure,2.192091816628172
total_fees_paid,0
max_drawdown,0.15113296246696
max_drawdown_duration,105 days 13:30:00
total_trades,1132
total_closed_trades,1132
total_open_trades,0
open_trade_pnl,0
win_rate,0.357773851590106
best_trade,7.687652972677098
worst_trade,-5.57748153977642
avg_winning_trade,0.7010631180531799
avg_losing_trade,-0.3550157958021076
avg_winning_trade_duration,0 days 03:12:07.407407407
avg_losing_trade_duration,0 days 01:12:25.254470426
profit_factor,1.088441312562722
expectancy,2.234014832538289
sharpe_ratio,1.4753695474022552
calmar_ratio,3.7569689925497447
omega_ratio,1.0276065966634107
sortino_ratio,1.4532347048216332
exit_reasons_signal,1028
exit_reasons_trailing_stop,103
exit_reasons_end_of_data,1
