short_window,long_window,signal_window,strategy_type,trailing_stop,total_return,win_rate,profit_factor,max_drawdown,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,total_trades
16,26,13,buy_sell,0.01,2.3662383196091783,0.37092731829573933,1.1568782533524395,0.258617806394962,2.700765583568287,2.463486256396898,9.19303338499941,1.0606862497446163,1596
16,34,13,buy_sell,0.01,2.1716608645020274,0.3678996036988111,1.1841836450735677,0.17636621670548594,2.551150281353262,2.3685120906740913,12.3704772043648,1.0589848302438924,1514
12,34,9,buy_sell,0.01,2.1902309413271914,0.3504361210877373,1.138670177281491,0.23879462684969566,2.529599048055388,2.3494028248693626,9.214674038777039,1.0554955342000576,1949
12,34,13,buy_sell,0.01,2.011073133006238,0.3612281757977122,1.1312223566335171,0.31706918026039094,2.4683004366911767,2.2717003913070433,6.371497053276822,1.0549494056101376,1661
16,21,13,buy_sell,0.01,2.0077420113809152,0.367103694874851,1.1435020883776217,0.20198967058813053,2.4599715987655393,2.23934967479738,9.984941028116928,1.0551323020520573,1678
16,34,5,buy_sell,0.01,2.109230820167538,0.33710801393728224,1.12563090553077,0.23593465806025216,2.413213170530899,2.2474016105801264,8.981027238669766,1.0526124143088205,2296
16,26,5,buy_sell,0.01,2.141752372209418,0.34190871369294606,1.1243549343691428,0.27440572414638936,2.4103090856695775,2.252816372766992,7.841121938195372,1.052533565444399,2410
16,34,9,buy_sell,0.01,1.9348653887852587,0.3570595099183197,1.1290498006911516,0.2820172750435129,2.403090631014286,2.209844100208467,6.891631603058671,1.053296043785018,1714
12,34,5,buy_sell,0.01,2.1085604376786278,0.34518577706751896,1.1132508742266802,0.3553127682162604,2.3782075983356723,2.229389390634197,5.9616806877564485,1.0513702321174643,2503
8,34,13,buy_sell,0.01,1.8663886665070535,0.3455366098294885,1.1204973721463907,0.27499075096624503,2.3046300823152768,2.1130873474146075,6.817295259290112,1.0505309042342341,1994
8,34,9,buy_sell,0.01,1.7668308031653859,0.34726411029728566,1.1123050500099936,0.2858756943605448,2.1807570782871015,2.0319829125282722,6.2075139868484674,1.047486529481441,2321
12,26,13,buy_sell,0.01,1.6284531688242794,0.3561797752808989,1.1208405713973277,0.2554056372228284,2.1761374144590993,1.9751793215859514,6.4033074006593855,1.0484069309490014,1780
8,26,13,buy_sell,0.01,1.6010319675337181,0.34606317774634604,1.102912765336976,0.2965842453589668,2.098074712428083,1.9245329700703053,5.421297981649366,1.0460626408982567,2121
12,26,9,buy_sell,0.01,1.4928827994528926,0.34419942473633747,1.099358709189398,0.305735748891204,2.0196566214023446,1.847161822453285,4.903405720159944,1.044371235748252,2086
16,26,9,buy_sell,0.01,1.4312340141938578,0.3492149431510558,1.1063713231805345,0.2669313043707947,2.016903991670313,1.8329114429532742,5.38406340793516,1.044579732122802,1847
12,21,13,buy_sell,0.01,1.3428101814668645,0.34984358706986446,1.0971388071029688,0.3306668394619845,1.9255302817537798,1.7321315881168105,4.077506353337776,1.0426391814830756,1918
8,21,9,buy_sell,0.02,1.6479823963782885,0.35772994129158514,1.0933600847651401,0.22735279071616038,1.9122046000413024,1.777676749408629,7.279769653449984,1.0411026271136954,2555
12,34,5,buy_sell,0.02,1.6161954488451726,0.34918098282061527,1.0942477465466742,0.2772786976474082,1.89986872343955,1.7918678140285955,5.85373787680376,1.040581814109794,2503
12,34,5,buy_sell,0.03,1.6278815992167674,0.3495805033959249,1.0945795425968914,0.27251044834854804,1.8905734308829172,1.7836793452178241,5.99927875630114,1.0402586418888162,2503
16,21,13,buy_sell,0.02,1.5366946994232604,0.3712753277711561,1.09289718317189,0.3605573853858857,1.8898039106930544,1.758036756009245,4.280012520046205,1.0403643928157669,1678
16,21,9,buy_sell,0.01,1.306557544512761,0.34373427277302465,1.0923177358378855,0.3372178360893016,1.8864171688300482,1.7102834843240604,3.890243699615793,1.0414435368355228,1987
8,21,9,buy_sell,0.03,1.625891874563052,0.35812133072407043,1.0917203880528406,0.23173698927941302,1.883179278874481,1.75173506779236,7.046202062671899,1.0403503537984005,2555
12,21,9,buy_sell,0.01,1.309509774044085,0.35291418081688847,1.085549553497518,0.3365550201930812,1.8683612174715971,1.687879726407325,3.906721437717597,1.0405642482435522,2179
12,34,9,buy_sell,0.03,1.5095138685191014,0.3586454592098512,1.0922021561308175,0.3106458494708457,1.8390091138722255,1.726727819850835,4.879721510158346,1.0388891050032947,1949
16,21,13,buy_sell,0.03,1.502941870621487,0.3712753277711561,1.093247018219452,0.3134580620603404,1.8382825072581022,1.7155588950823066,4.814865873519329,1.0389564932134394,1678
12,34,9,buy_sell,0.02,1.4629901872450286,0.35761929194458697,1.0896965212618,0.3476208055667548,1.8306803122918929,1.7135695714374195,4.2261476990735085,1.0389079497939762,1949
16,26,5,buy_sell,0.03,1.520886093778973,0.34688796680497924,1.0935726008623525,0.2538421874951326,1.8265038089101144,1.7164757473181063,6.016721052837816,1.0388732017059472,2410
16,26,13,buy_sell,0.02,1.4283901570676656,0.37593984962406013,1.0910160540993448,0.3842698293392883,1.821340934090366,1.6937866114517552,3.7325762394326354,1.0388107849041741,1596
8,26,9,buy_sell,0.01,1.2775371534787707,0.35444078947368424,1.0799775673604914,0.34155982465658363,1.819857377062179,1.6573260359130804,3.755397932841856,1.039053050091715,2432
16,26,5,buy_sell,0.02,1.4331017211391377,0.34522821576763485,1.0906498307852857,0.25377550783312386,1.7851025381166405,1.6749609368880183,5.670572771613603,1.038116534174681,2410
16,21,5,buy_sell,0.03,1.453030518138517,0.3456547384978372,1.0835662024469093,0.26197992553424654,1.7840931799137405,1.6883834419859258,5.569453949041593,1.037941464119735,2543
8,26,9,buy_sell,0.03,1.4554090638902686,0.36019736842105265,1.0833339383192968,0.2659225200495481,1.7811402775817782,1.6609289901241029,5.4958718835179905,1.038024654991977,2432
16,21,5,buy_sell,0.02,1.423620668335152,0.3448682658277625,1.0828085041062885,0.26854304955638875,1.779533362680911,1.6837110643825894,5.323251473457712,1.03795452326912,2543
8,26,9,buy_sell,0.02,1.413929046979217,0.3597861842105263,1.0821362592097108,0.2850919532571367,1.767634926079565,1.647152387982935,4.980078571075812,1.0378463112863203,2432
8,21,13,buy_sell,0.01,1.1689071030451204,0.3547802446760308,1.0766081171229733,0.3648180684312861,1.7456426092677477,1.5758388415469118,3.2167410340422253,1.037826941980235,2207
16,26,13,buy_sell,0.03,1.3570706373199504,0.37593984962406013,1.089895184750551,0.3345907842721224,1.7441817287895853,1.6290970259445174,4.072525124860155,1.0368661370316647,1596
16,34,5,buy_sell,0.03,1.3049215328425896,0.3423344947735192,1.083748665618948,0.2698830347163956,1.6859037390411062,1.5810483948429703,4.854752311612915,1.0357510565550392,2296
16,34,9,buy_sell,0.02,1.2499660201815304,0.3605600933488915,1.0773791860786701,0.4184613868959204,1.6816011308456158,1.5615659726629503,2.9990438688290086,1.0357683759432887,1714
12,26,13,buy_sell,0.02,1.2460624941714276,0.3651685393258427,1.0799603082602025,0.41032015324352683,1.677818765614564,1.555692037463761,3.0489876657324495,1.035740198529262,1780
16,21,5,buy_sell,0.01,1.1091320038009518,0.3409359024773889,1.0719122785539699,0.3710042308030048,1.668656510411563,1.5268903667100708,3.001207293406746,1.0356976708228336,2543
8,26,13,buy_sell,0.03,1.2728636440181287,0.3592644978783593,1.07934903234179,0.3178183331304515,1.663542357119889,1.548652886601691,4.02115290944035,1.0352868134465973,2121
12,34,13,buy_sell,0.02,1.2176466318192178,0.36423841059602646,1.0750834185897156,0.4452888566433585,1.660661439008072,1.544759143176224,2.745418452517229,1.0353097231801631,1661
8,26,13,buy_sell,0.02,1.237298180218066,0.35737859500235736,1.0781385596630126,0.34369610499065995,1.6555825406561886,1.5398125127409519,3.614394126812173,1.0352835459229708,2121
16,26,9,buy_sell,0.02,1.2097681491356729,0.35841905793178125,1.0781178807577863,0.38775534034065035,1.648248995651501,1.5286171721590471,3.132353637630214,1.0350486370893712,1847
12,26,13,buy_sell,0.03,1.232836277798494,0.3651685393258427,1.080747111368851,0.37074363404177885,1.644503936760968,1.52929574830994,3.3386119476975664,1.0347871617054187,1780
16,34,9,buy_sell,0.03,1.2218756914500128,0.3605600933488915,1.0784888308764573,0.36081501872710575,1.6385793288205073,1.5280274657241304,3.399953322454529,1.0346107957892265,1714
16,34,5,buy_sell,0.02,1.2170345060801664,0.34102787456445993,1.079325226232132,0.28635119688210947,1.6369831800099872,1.5304800019966298,4.267099650212357,1.0348617070722392,2296
8,34,13,buy_sell,0.03,1.2267908064721065,0.35606820461384153,1.0782785049348285,0.33131450506870347,1.6349612854937854,1.5210581597444703,3.717596596665909,1.0346008721724755,1994
8,34,13,buy_sell,0.02,1.1850790272818943,0.35456369107321967,1.075625736722778,0.36919757237410133,1.6223135658258327,1.5040465155505915,3.222600545148858,1.0345052225526847,1994
16,26,9,buy_sell,0.03,1.2009472732432531,0.35841905793178125,1.078618731450962,0.3529215353558453,1.6195546301940986,1.5063768765899948,3.4164038792436897,1.0342150122021603,1847
12,21,9,buy_sell,0.02,1.184244844526734,0.36025699862322164,1.0716582253081834,0.362358728280435,1.6102004438058326,1.4880030668844644,3.281107733887156,1.0344274791806918,2179
12,21,13,buy_sell,0.02,1.1671301366181779,0.3623566214807091,1.0739651664055334,0.4191295335604831,1.6077820720516407,1.4810581289727396,2.795650310142217,1.0342535900421068,1918
12,21,5,buy_sell,0.02,1.1942618768740312,0.346442617089739,1.0731036265252725,0.26465528516212056,1.6003750037365994,1.4907924230477083,4.530437479427479,1.034208863023582,2797
12,21,13,buy_sell,0.03,1.1765188075871593,0.3623566214807091,1.0741072058083492,0.3935216689407812,1.5959381316250087,1.472648341082432,3.0015479408423347,1.0337994608744219,1918
12,21,5,buy_sell,0.03,1.2034359954880725,0.34680014301036827,1.0728511554500355,0.2646712945013681,1.5957949503992306,1.4870605274684898,4.5649963001785725,1.0340261897546672,2797
12,21,9,buy_sell,0.03,1.1863984535739427,0.3625516291877008,1.0705509602437646,0.34989485111290536,1.5951531785292175,1.4749808474482546,3.4041718263865364,1.0339547854431044,2179
12,34,13,buy_sell,0.03,1.139904466643744,0.36363636363636365,1.0733242982951818,0.40261454350380815,1.5782079584464388,1.4741547551798129,2.842375093866459,1.033296916301163,1661
12,26,5,buy_sell,0.02,1.1565804960080903,0.3371876165609847,1.0742127967720467,0.24800305292075436,1.577553176583792,1.474580210166904,4.6819526776140385,1.033711209374937,2681
12,26,5,buy_sell,0.03,1.170125207994109,0.3379336068631108,1.074501644043545,0.24800305292075367,1.576019621073515,1.4739107778275977,4.736834042805961,1.033586058862492,2681
12,26,9,buy_sell,0.02,1.1070745896036522,0.3566634707574305,1.0722560025924937,0.35902526776281246,1.5545761808771001,1.4441045567260762,3.095585200937003,1.0330913218717654,2086
8,21,13,buy_sell,0.02,1.096932510734002,0.3611236973266878,1.0669574517090692,0.37945230191973095,1.5420939087455106,1.4243725170458434,2.9020843496226068,1.0329696971453646,2207
8,21,13,buy_sell,0.03,1.1128933482316403,0.3633892161304939,1.06646351029679,0.3673225502419453,1.539061021004241,1.4222807864017233,3.041577573569983,1.0327659395769024,2207
12,26,9,buy_sell,0.03,1.1038538490910095,0.3581016299137105,1.071676532005803,0.3351592714950046,1.535492495939583,1.42781017917184,3.30635968789602,1.0325173675279866,2086
8,21,9,buy_sell,0.01,0.926900942437676,0.3530332681017613,1.061525394128403,0.38434891687933787,1.4899034902675456,1.3338286499505125,2.4206553676588283,1.0320604682128727,2555
8,34,9,buy_sell,0.03,1.0450959307874677,0.3537268418785006,1.074446048318943,0.27992406328640246,1.4847426948642442,1.389715809221916,3.7478719142582726,1.0314947628615272,2321
16,34,13,buy_sell,0.03,1.0075555613807667,0.36988110964332893,1.0852149905650377,0.2668809081990389,1.477390819823398,1.3852066684224646,3.789716300809555,1.0310198936801032,1514
8,26,5,buy_sell,0.02,1.045168958427676,0.3446617505610773,1.0646872134773042,0.24850452531650463,1.4733574164529544,1.3882825915930728,4.222027369205068,1.0316470256280157,3119
8,34,9,buy_sell,0.02,1.0140156774327105,0.35200344679017664,1.0732634434797177,0.28372361039542005,1.4723393543229322,1.3759316756440494,3.5876225933361945,1.03134998581971,2321
16,21,9,buy_sell,0.02,0.9884718708153024,0.35631605435329644,1.065764800494743,0.4137349792277967,1.4613326622418694,1.350512884695413,2.3982269751472653,1.0310143452943534,1987
16,21,9,buy_sell,0.03,0.9922138648005162,0.3573225968797182,1.0650826413889098,0.3986409741825726,1.4489273016794957,1.341185407544802,2.4984630996914343,1.0305788658779989,1987
8,26,5,buy_sell,0.03,0.9793609404371036,0.3446617505610773,1.060500546479148,0.2518814365834597,1.4126027367703535,1.3296761306414722,3.9029363576903715,1.030287877876715,3119
16,34,13,buy_sell,0.02,0.8958137927058473,0.3705416116248349,1.0780383125260151,0.2992862518136908,1.3995618083405792,1.3023808717942087,3.0043083595296984,1.0296633217433573,1514
8,34,5,buy_sell,0.02,0.9323192638722255,0.34050297816015884,1.060051911547869,0.2755217505831715,1.391079759873151,1.3119187727425377,3.396535097121443,1.0295528373996925,3022
8,34,5,buy_sell,0.03,0.9273981403866554,0.34050297816015884,1.0586143053108716,0.30271013905806216,1.3797526159404134,1.301518660764082,3.0751389261367215,1.0292694522878263,3022
8,21,5,buy_sell,0.02,0.9049490173836974,0.34533251982916413,1.0557098800708782,0.29371571298348736,1.3591749321718742,1.2858732324048467,3.0925300946221803,1.02910461022295,3278
12,21,5,buy_sell,0.01,0.7994007253690099,0.34358240972470505,1.0526949283490339,0.40149240976399503,1.3510299400575496,1.2173536869536297,1.9983119831363811,1.028722234031731,2797
12,26,5,buy_sell,0.01,0.7785459077979292,0.3319656844461022,1.0538540750662708,0.37411478564706824,1.3372705141985421,1.2079112643943504,2.088560971953104,1.028510904947047,2681
8,21,5,buy_sell,0.03,0.8679431772237763,0.34563758389261745,1.052575007682241,0.2997435816203739,1.3207957020297099,1.2486229404974678,2.9063255148567353,1.0282426773405475,3278
12,34,9,reversal,0.01,0.9923542552883279,0.3383786557208825,1.0502263812858026,0.28567346147015543,1.3110194780250453,1.7057606102333855,3.486956057802909,1.0199074887663513,3898
8,26,5,buy_sell,0.01,0.7297573228352383,0.34145559474190446,1.047063679145104,0.41771700748337287,1.2590934720858356,1.1578657633432583,1.753252372450529,1.0267644003773968,3119
8,34,5,buy_sell,0.01,0.631445793501337,0.3398411647915288,1.0411798697782193,0.4348446594432718,1.1603654854929901,1.069070585642676,1.4571664656972436,1.0246233512693022,3022
16,34,9,reversal,0.01,0.7196455690185328,0.3445157526254376,1.0389695066685205,0.3139547107719146,1.11779938573184,1.4277649310357605,2.300359198199987,1.017265138694129,3428
8,21,5,buy_sell,0.01,0.5922716737329702,0.3422818791946309,1.038162272863776,0.4287901282990176,1.1106824983762338,1.0274165464490468,1.3860108383181164,1.0234833078393843,3278
12,34,5,reversal,0.01,0.7288716055291942,0.33499800239712346,1.0349701279726438,0.32075359363887407,1.098321184773297,1.4532819923811853,2.28048527235013,1.016381889063361,5006
16,26,13,reversal,0.01,0.6200718317908872,0.349937343358396,1.036811948591371,0.3210864962652751,1.0395808577500283,1.309958000942904,1.9378597878206063,1.016221433685864,3192
16,26,5,reversal,0.01,0.6488446415272294,0.33485477178423234,1.035075827461757,0.2800063933060606,1.0387509627003584,1.3635644779625626,2.3253448823358793,1.015571015714998,4820
16,34,5,reversal,0.01,0.6132026315770925,0.3260017421602787,1.0328694078133136,0.2857223133176864,1.0132606740450865,1.3283619610132142,2.153571539408978,1.0152319823247469,4592
16,21,13,reversal,0.01,0.5771243965711472,0.35250297973778305,1.0359685168331094,0.37058939436443467,0.9991857990418972,1.2682265523246241,1.5626449656921302,1.0155019281757334,3356
12,34,13,reversal,0.01,0.5548527089020876,0.3431667670078266,1.0312921528765744,0.3640580007674375,0.9796610726602053,1.2472937860907518,1.529259738417251,1.0151706806625418,3322
8,34,13,reversal,0.01,0.564169293080655,0.3350050150451354,1.0309345541179777,0.301269623993382,0.9783456952597994,1.2594073947596858,1.8790239340956865,1.0148464109120303,3988
12,26,13,reversal,0.01,0.4261875915767567,0.34438202247191013,1.0274259165066113,0.3402829198568766,0.8560166717544735,1.0920327158839387,1.2565403342392825,1.0131530949196519,3560
16,26,9,reversal,0.01,0.3861703811900166,0.3410936654033568,1.0242527112873714,0.36579623704193415,0.8160361396802651,1.0450528160634378,1.0590991239803744,1.0124697423559446,3694
12,34,5,reversal,0.02,0.3757607322651493,0.33599680383539754,1.0212674269175182,0.3559758088610613,0.8029713303127507,1.0776071856257936,1.058967934444693,1.0117356837152258,5006
8,21,9,reversal,0.02,0.3690834798906633,0.3516634050880626,1.0211859583495522,0.5138619995603467,0.7976504511125007,1.056287678933269,0.7205544388813752,1.0116562234243918,5110
8,34,9,reversal,0.01,0.3094202594504433,0.3375700129254632,1.0198045782707859,0.2978836661656806,0.7374090210049662,0.9657883850911837,1.0419852864055406,1.0110466342673086,4642
12,34,5,reversal,0.03,0.270626452213278,0.3361965641230523,1.0159974510238523,0.402099609138783,0.7122157132643262,0.9571189310246623,0.6751132967053803,1.0103758242350926,5006
16,34,13,reversal,0.01,0.2513847591887123,0.345112285336856,1.0212169273731342,0.3128017025019384,0.6729156960146826,0.8526039520330829,0.8061207456967476,1.010699531284193,3028
8,26,13,reversal,0.01,0.24641798890189803,0.3392267798208392,1.014593893630529,0.2997579141125339,0.6709418348515596,0.8655577353440292,0.8245736734133035,1.0101435896994753,4242
8,26,9,reversal,0.02,0.1793185642539269,0.34930098684210525,1.0104004447527701,0.41792940782977017,0.6234029181898123,0.8283107660946191,0.43034315933673134,1.0090945471636017,4864
16,26,5,reversal,0.02,0.17456418791597897,0.33568464730290454,1.0112344066345584,0.3873883826028675,0.6182915882499456,0.8251132286474389,0.4519585447560268,1.0090224205749863,4820
8,21,9,reversal,0.03,0.17020315532216046,0.35205479452054794,1.0106216257922254,0.535695985903468,0.6179613652398618,0.8190718225685546,0.318666873799741,1.0089991911035445,5110
12,26,9,reversal,0.01,0.17053166572248846,0.3389261744966443,1.0106001952667711,0.3087977572922519,0.5864245337091922,0.7541885835647542,0.5538839463614468,1.0088797783168435,4172
16,21,5,reversal,0.02,0.13468881583681486,0.3356272119543846,1.0078834877480296,0.4430291451404181,0.5786436278539389,0.7769327253142131,0.3049072052166892,1.0084366107822642,5086
12,34,9,reversal,0.02,0.1377109796928171,0.3391482811698307,1.008269431295047,0.3961403319840273,0.5770174572349148,0.765481501472738,0.34864995326821546,1.0084361994956208,3898
8,26,9,reversal,0.01,0.1540201444214359,0.3462171052631579,1.0088481203922914,0.3130437505978966,0.5718222492213123,0.7435617282624095,0.4934594487437493,1.0084754313905882,4864
12,34,9,reversal,0.03,0.1166005660570927,0.340430990251411,1.00703652030648,0.3996206401987332,0.5609289824329114,0.7465850608395143,0.2926248694263392,1.0081542340923082,3898
16,26,5,reversal,0.03,0.09326194994789003,0.3365145228215768,1.0062183738783332,0.4404759104213249,0.5387441238909007,0.7201681198075224,0.21233803527781744,1.0078321441602172,4820
12,21,13,reversal,0.01,0.11972733309798586,0.34071949947862357,1.0077066347204404,0.37151552197536597,0.5233786599062279,0.6614078254967387,0.3232038765505807,1.008012529152646,3836
8,26,9,reversal,0.03,0.06951087763348186,0.3490953947368421,1.0042297787419512,0.44844407547850185,0.5135587462254692,0.6832712237009287,0.15544490831329594,1.00746658368012,4864
16,21,13,reversal,0.03,0.047932417626031745,0.35458879618593564,1.0029932347685366,0.3930181186414225,0.4858425559186081,0.6421121408435188,0.1223027976613539,1.0070732800096234,3356
16,21,9,reversal,0.01,0.08646804645584089,0.33719174635128335,1.0055879026530261,0.372886949055168,0.4838932459221588,0.6164974086430717,0.23255201297127365,1.0073547822120263,3974
16,21,13,reversal,0.02,0.04974860581841531,0.3542908224076281,1.0030814279041211,0.4081177278857575,0.4788254430252715,0.6293939515164669,0.12224078580454388,1.007035767136904,3356
16,21,5,reversal,0.03,0.022666922985526253,0.3362170664569406,1.0014035282332603,0.45746004782012695,0.46218359261687697,0.6211614320455601,0.0496871743903983,1.0067166905100298,5086
12,21,5,reversal,0.02,0.014846555815860302,0.3407222023596711,1.0009678195856784,0.5176314757784168,0.4517228479702188,0.5995996525756138,0.02876108944917474,1.0065908146820564,5594
16,26,13,reversal,0.02,0.019086426856855906,0.35620300751879697,1.0012258455410772,0.4797606107007072,0.4419204851448606,0.5800832599414818,0.03989356418677483,1.0064924001694266,3192
16,34,5,reversal,0.03,-0.006009936066567388,0.3279616724738676,0.9996035802868866,0.39984659227513863,0.4290918840395425,0.5718930093782687,-0.015071772889660034,1.006242613878895,4592
16,21,5,reversal,0.01,0.005093820961202982,0.3336610302791978,1.0003098542627205,0.3333008665727689,0.39415164377622786,0.5154003818003855,0.015325044625320713,1.0058391837080536,5086
16,26,13,reversal,0.03,-0.030389541435703906,0.35651629072681706,0.9979627450897463,0.4514669711718734,0.3933985355423935,0.5196470625889669,-0.06749495759668332,1.005718136189042,3192
8,26,13,reversal,0.02,-0.03618276531492138,0.3448844884488449,0.9977447077705065,0.4071800451441656,0.3837137303715874,0.5065598835843679,-0.08910147630536301,1.005603810092048,4242
8,21,9,reversal,0.01,-0.007887816638211734,0.34696673189823873,0.9995067537624102,0.41999131000475654,0.3798322824737204,0.487807215121095,-0.018832295696448308,1.0056462680902374,5110
12,26,5,reversal,0.02,-0.05509582915080136,0.3328981723237598,0.996202758825914,0.5302407944897733,0.36672779278586365,0.4877533083008103,-0.10418461191468435,1.0053402371399895,5362
12,21,9,reversal,0.01,-0.019796326745597618,0.3458008260670032,0.9987340668150296,0.3500785044648576,0.3499584022145168,0.44747552123845225,-0.05670205003204923,1.0052386810605132,4358
16,34,5,reversal,0.02,-0.07046986972257928,0.32730836236933797,0.9952241461917544,0.3680029325588944,0.3439524352280306,0.4566831917212715,-0.19199972532896178,1.0050234780034788,4592
12,26,13,reversal,0.02,-0.06851372267164497,0.3502808988764045,0.9954241126087233,0.4396737625062719,0.3379925820039392,0.4441698391511575,-0.15624159282525624,1.0049537353799634,3560
8,26,5,reversal,0.02,-0.09187298375164064,0.3364860532221866,0.9937004937029302,0.5102675041390682,0.32507247575805065,0.4398099205108945,-0.1805197917908904,1.0047381025818418,6238
8,21,13,reversal,0.01,-0.03975085713561657,0.3468509288627096,0.9975096112479008,0.34880615777912144,0.3237560829437274,0.4144268804472083,-0.11426936159716145,1.004838194377475,4414
12,26,13,reversal,0.03,-0.09241945720104887,0.35084269662921347,0.9937101946714005,0.43331460781394326,0.3196609771629789,0.4218731442508787,-0.21384280882965506,1.004648095618582,3560
16,26,9,reversal,0.02,-0.09394388259093266,0.3462371413102328,0.9936933981553867,0.41254898029431475,0.3058666287346595,0.4019450269941143,-0.228310867320554,1.0044782000928472,3694
12,21,5,reversal,0.03,-0.12030061949452611,0.3409009653199857,0.9915877277113295,0.5370335616860186,0.29174712906172856,0.3873517531492908,-0.22458621106726803,1.0042445726787959,5594
8,34,13,reversal,0.03,-0.12266770447581057,0.33826479438314944,0.9918907932220966,0.4254899221349072,0.2816322708045361,0.372088760367616,-0.28903875264423656,1.004088332841678,3988
8,34,13,reversal,0.02,-0.11398875554320566,0.3372617853560682,0.9925046334489439,0.39367276552521985,0.28143097799267225,0.3704962860202005,-0.29030023080704914,1.0041076821201358,3988
16,26,9,reversal,0.03,-0.12231368604509517,0.3467785598267461,0.9915936486192121,0.40809009237567573,0.2812750160266366,0.3711143427458415,-0.30049299174283994,1.0040874241120787,3694
16,34,9,reversal,0.03,-0.1268342359938957,0.34714119019836637,0.9915782576405273,0.45847810773676206,0.27372007927357545,0.36145627516201057,-0.27735135682844,1.0039796491007413,3428
16,34,9,reversal,0.02,-0.11724911237755259,0.34626604434072344,0.9923808509185533,0.4826385411306196,0.273138163773445,0.3588130513467734,-0.24356012868462637,1.004003130782071,3428
12,34,13,reversal,0.02,-0.1170155074373437,0.3473810957254666,0.9926678220553784,0.5307681010895497,0.2713058031207862,0.35696953360798733,-0.22103313743027356,1.0039751288513927,3322
8,26,13,reversal,0.03,-0.1329630294630819,0.34535596416784536,0.9912761247877235,0.476572031427498,0.26900926212716436,0.3558821807055121,-0.27971177160262817,1.0039062524584914,4242
12,26,9,reversal,0.02,-0.1341596386006764,0.3453978906999041,0.9911513030104765,0.38714732540816177,0.2572700439857489,0.3393559754708714,-0.34741872772981547,1.0037541880489778,4172
12,21,9,reversal,0.02,-0.1444689368523432,0.35084901330885726,0.9909966416612873,0.43991925508215146,0.24396254926574884,0.3208300462973071,-0.32923221711554573,1.0035575032276334,4358
12,21,13,reversal,0.02,-0.14441054419532592,0.3482794577685089,0.9905482142991671,0.4604132785536688,0.24046631638829283,0.31436110153513713,-0.31445023516591164,1.0035162691145496,3836
8,34,9,reversal,0.02,-0.16783192781734269,0.33950883239982765,0.9867311372430091,0.4775979111841286,0.21487781431899772,0.2858208254227852,-0.3522876379836327,1.003129227031041,4642
12,34,13,reversal,0.03,-0.1733504716598545,0.347682119205298,0.9886476341218254,0.5120734691012822,0.20732617024806954,0.27410615090472973,-0.3393706419053562,1.003010630645844,3322
12,21,13,reversal,0.03,-0.18668162581377792,0.34854014598540145,0.9876501677733937,0.4665413469665796,0.1941182616674481,0.25466756201879565,-0.4011288477488724,1.002817217255172,3836
12,26,5,reversal,0.03,-0.19155161762302841,0.3328981723237598,0.985584773982215,0.5530110173184389,0.1925671560033876,0.2562891557132075,-0.3472331404623032,1.0027951280094525,5362
