metric,value
start,2022-01-01 00:00:00
end,2022-06-30 23:50:00
period_start,14
period_end,26062
start_value,10000
end_value,6301.769740647484
total_return,-0.3698230259352516
benchmark_return,-0.5689493560861774
max_gross_exposure,1.702629525248942
total_fees_paid,0
max_drawdown,0.4115198167592802
max_drawdown_duration,180 days 21:20:00
total_trades,1539
total_closed_trades,1539
total_open_trades,0
open_trade_pnl,0
win_rate,0.3300844704353476
best_trade,7.727117123191747
worst_trade,-3.1927128400074305
avg_winning_trade,0.7804382405460751
avg_losing_trade,-0.42332963534601786
avg_winning_trade_duration,0 days 02:29:54.094488188
avg_losing_trade_duration,0 days 00:51:52.318137730
profit_factor,0.8905117664588474
expectancy,-2.4030086155636923
sharpe_ratio,-1.6635068502225503
calmar_ratio,-1.4772998369969788
omega_ratio,0.967789301516617
sortino_ratio,-1.6204430329195085
exit_reasons_signal,1504
exit_reasons_trailing_stop,34
exit_reasons_end_of_data,1
