short_window,long_window,signal_window,strategy_type,trailing_stop,total_return,win_rate,profit_factor,max_drawdown,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,total_trades
12,34,13,buy_sell,0.01,4.2250470963980415,0.370752427184466,1.311952547906877,0.16707695834935435,3.8365655703508814,3.6016449052875035,25.430411320035475,1.084550226192479,1648
16,26,13,buy_sell,0.01,4.132063767144031,0.37744171392564585,1.3207334024609398,0.1781001900859601,3.8110075452797236,3.5492210204277357,23.33054668394768,1.0845203713743399,1587
16,34,9,buy_sell,0.01,3.795389632181783,0.360932944606414,1.2929822737851808,0.16559765359255663,3.628660765862907,3.3985441864239285,23.044328245762063,1.0796652687756667,1715
16,21,13,buy_sell,0.02,4.501757720441593,0.37462775461584275,1.3000395533753002,0.17281378341823952,3.6066930763894023,3.386416667959433,26.19924003567488,1.075980066270711,1679
16,21,13,buy_sell,0.01,3.6114454993937004,0.3680762358546754,1.2866173472523577,0.17745263382622695,3.567731680783138,3.3231782070396245,20.46095868948605,1.078896724257509,1679
12,34,13,buy_sell,0.02,4.374769070899775,0.3737864077669903,1.2874307482498197,0.14970068983686427,3.557114822174005,3.331349214751678,29.38970078287348,1.0747796435415142,1648
16,26,13,buy_sell,0.02,4.284229307430241,0.38311279143037175,1.287861829865073,0.16555908585408585,3.527369312204963,3.287718336267397,26.023649866203513,1.0742368154019615,1587
12,34,5,buy_sell,0.01,3.7378863921099548,0.33840155945419104,1.2598420157305625,0.21895704051319176,3.4480358593103095,3.360206434434627,17.163995052914025,1.0737365259540943,2565
16,34,9,buy_sell,0.02,4.095393089039281,0.3650145772594752,1.2740896856462451,0.16469552952325836,3.4417415554980217,3.2140358287841257,25.00516050097837,1.0723531110605575,1715
12,34,9,buy_sell,0.01,3.4365083609659983,0.3501513622603431,1.266753770087193,0.20125695062584134,3.4162114741993066,3.2584499131448705,17.165640158037217,1.0736142409597282,1982
12,26,13,buy_sell,0.01,3.2701320344278035,0.36235955056179775,1.26382196111038,0.18016865320698808,3.3814878615648447,3.1561919405553396,18.245102098501533,1.0742636140536457,1780
12,26,13,buy_sell,0.02,3.891566068925376,0.3707865168539326,1.27280804716698,0.17878312582017367,3.371539876267026,3.1633542932612597,21.886552310641044,1.0708318705432593,1780
16,21,13,buy_sell,0.03,3.97644853781004,0.37462775461584275,1.271640720960534,0.191394191406727,3.3456791884001515,3.1367000076204543,20.891103957317938,1.070047379037207,1679
12,21,13,buy_sell,0.01,3.2211557037693304,0.3573278094251683,1.2436197836833824,0.18581054083270981,3.3399896803095954,3.1465988215756338,17.425755880229918,1.0728923847636294,1931
8,34,13,buy_sell,0.01,3.2611548335083813,0.34714003944773175,1.251578620045408,0.20159754789180215,3.3202455403533047,3.163821214206028,16.260900482786443,1.0713755247393242,2028
16,26,5,buy_sell,0.01,3.298177749304331,0.3346872461413485,1.2434535116659051,0.20208095555884348,3.2678469504548913,3.167487066044628,16.406448889583327,1.0700403274494152,2462
12,21,13,buy_sell,0.02,3.6163519446777967,0.36664940445365096,1.2475017068512984,0.1966242603604682,3.2566096804461027,3.0677535492259214,18.49106330403033,1.068248834272935,1931
16,34,5,buy_sell,0.01,3.217491043270324,0.3329048843187661,1.2416481092450893,0.20038233450461088,3.24559780371125,3.137302992789352,16.14014449621621,1.0694465818970087,2334
12,26,9,buy_sell,0.01,3.123926156489672,0.34600760456273766,1.2362334345107153,0.18798070189402197,3.241171794407059,3.097535861306678,16.70389065560022,1.0701652018897185,2104
8,26,13,buy_sell,0.01,3.133733139172855,0.34726090993500464,1.2359952790419153,0.19591553267897485,3.2398896309936354,3.102513992606962,16.07775226037196,1.0700592308016958,2154
16,21,9,buy_sell,0.01,3.041931253927561,0.3508946322067594,1.2336954661967479,0.19764103168198954,3.229957875688077,3.0666420361429316,15.469816762078251,1.069901051512281,2012
12,34,13,buy_sell,0.03,3.6606179682927564,0.3731796116504854,1.2537078905021772,0.1841108346046385,3.2180606457716645,3.004861687407347,19.989952198214805,1.0672713462127363,1648
16,26,13,buy_sell,0.03,3.5931097542936774,0.38248267170762446,1.2541566580548067,0.18127844001662768,3.1929808901365764,2.9681003625263753,19.92728766701652,1.0668144737426155,1587
16,26,9,buy_sell,0.01,2.9026590196060593,0.3521505376344086,1.231458520993337,0.1904667588549368,3.177341991014731,2.97130601355171,15.316507293238642,1.0693277767896145,1860
16,26,9,buy_sell,0.02,3.429290495377232,0.3602150537634409,1.2425655420430897,0.18517833826342545,3.1711668900719503,2.9747758328545855,18.616848290845706,1.0663983797307899,1860
12,26,13,buy_sell,0.03,3.459940361987684,0.3707865168539326,1.2473708217207111,0.19111321315156102,3.1333298447612523,2.934851173609399,18.200192706003286,1.0654704391771401,1780
8,34,9,buy_sell,0.01,3.0073642773656575,0.3424831081081081,1.237126524852607,0.1900967127880401,3.132260277307614,3.0280717695141885,15.90072606213298,1.0671045341990506,2368
16,34,9,buy_sell,0.03,3.4449136959836384,0.36443148688046645,1.2435775562543985,0.1913941914067268,3.1197333121434316,2.905161659428148,18.09442274873142,1.065231595871597,1715
12,21,13,buy_sell,0.03,3.3475423654127883,0.3671672708441222,1.2283264749203,0.19890351255154112,3.086676560673877,2.9009002807727025,16.9184070037987,1.0644407951979202,1931
12,21,9,buy_sell,0.01,2.772957197998259,0.35248868778280545,1.2058534332245452,0.17897573662068333,3.0647105598658086,2.8865297069667237,15.57052369148093,1.0654947102274943,2210
