period,train_start,train_end,test_start,test_end,best_params,train_return,test_return,train_sharpe,test_sharpe,test_trades,test_win_rate,test_max_drawdown
1,2020-01-01,2021-01-01,2021-01-01,2021-07-01,"(16, 26, 13, 'buy_sell', 0.01)",1.702664198304549,0.8553788021925364,2.598963525607673,2.373524494228003,787,0.3595933926302414,0.2586178063949621
2,2020-07-01,2021-07-01,2021-07-01,2022-01-01,"(16, 26, 13, 'buy_sell', 0.01)",2.3662383196091783,-0.1762028048467857,2.700765583568287,-0.6690040326383954,822,0.3199513381995134,0.3114790179522824
3,2021-01-01,2022-01-01,2022-01-01,2022-07-01,"(8, 26, 5, 'buy_sell', 0.02)",0.9863605004951234,-0.3698230259352516,1.400949389975859,-1.6635068502225503,1539,0.3300844704353476,0.4115198167592802
4,2021-07-01,2022-07-01,2022-07-01,2023-01-01,"(8, 21, 5, 'reversal', 0.01)",0.1382150031059371,-0.3156904846085001,0.4872696290034456,-1.1383269997541658,3353,0.3250820161049806,0.45450059697682565
5,2022-01-01,2023-01-01,2023-01-01,2023-07-01,"(12, 21, 9, 'reversal', 0.03)",0.015362866347408636,0.22252774528432548,0.34857840965634884,1.1051394142916127,2088,0.3424329501915709,0.21181067227710323
6,2022-07-01,2023-07-01,2023-07-01,2024-01-01,"(8, 21, 13, 'buy_sell', 0.01)",0.39289040349707904,0.25319173000823814,1.1071092579398523,1.8348917672551257,1145,0.34934497816593885,0.15040574714383612
7,2023-01-01,2024-01-01,2024-01-01,2024-07-01,"(16, 26, 13, 'buy_sell', 0.01)",1.1232952626352108,0.1297401352855497,2.7333000171335673,0.9009548883387704,829,0.36550060313630883,0.21486734619647768
8,2023-07-01,2024-07-01,2024-07-01,2025-01-01,"(8, 21, 13, 'buy_sell', 0.01)",0.6723529060090677,0.252890479043334,1.8311511721983438,1.4753695474022552,1132,0.357773851590106,0.15113296246696
