short_window,long_window,signal_window,strategy_type,trailing_stop,total_return,win_rate,profit_factor,max_drawdown,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,total_trades
8,21,13,buy_sell,0.01,0.6723529060090677,0.35426802299867316,1.1161022082933405,0.15040574714383612,1.8311511721983438,1.8170219711891924,4.47026073655339,1.036927468851781,2261
8,34,13,buy_sell,0.01,0.6334741565188495,0.3440434997528423,1.1188861888672847,0.1643253708865843,1.7762064639024555,1.769006717774868,3.854999097832963,1.0357679765464882,2023
12,21,9,buy_sell,0.01,0.642711305708949,0.35278154681139756,1.1127213811967678,0.13995493123617245,1.7747057271775575,1.7581824964126196,4.592273384239535,1.0357732844256797,2211
12,21,13,buy_sell,0.01,0.6250010328245049,0.35751295336787564,1.1169301832620682,0.17912029948222663,1.7558551722187603,1.735106207323152,3.4892808611372454,1.0353480465468305,1930
16,21,9,buy_sell,0.01,0.6189010744427731,0.3514456630109671,1.1141675061780256,0.1826726871898028,1.7408569070891142,1.7224183306079177,3.3880329017096837,1.035028450667614,2006
12,34,13,buy_sell,0.01,0.60226658102688,0.36226851851851855,1.116583285767813,0.21102374464230275,1.720520750881968,1.7028655659328804,2.8540228117350313,1.0347703109416717,1728
16,26,13,buy_sell,0.01,0.5865634217695228,0.3644633110976349,1.1147862306704595,0.21486734619647643,1.6884944083760487,1.66066455565991,2.729886286365563,1.034179490977286,1649
12,34,9,buy_sell,0.01,0.5827785742985335,0.3417211877201812,1.1125919332863332,0.16520950983019797,1.6722085958830242,1.6618094234013039,3.527512277577194,1.0336576851837045,1987
16,34,9,buy_sell,0.01,0.5700533992876059,0.35343383584589616,1.1106536715875364,0.20292285063159868,1.6538428365539728,1.6395993074697264,2.8092124544540495,1.0333810308665743,1791
16,26,9,buy_sell,0.01,0.5711584063980876,0.3498158863755918,1.111108651622872,0.19362708703843418,1.6507968524935268,1.632844490468688,2.9497856685966415,1.0332522328003035,1901
12,26,9,buy_sell,0.01,0.5496568760831598,0.34786729857819904,1.0999521801466057,0.19577623927105398,1.5940994815413227,1.5757020416435354,2.8075770488274374,1.0320579564961392,2110
16,34,13,buy_sell,0.01,0.532216629127736,0.35086593970493907,1.1111564579570894,0.2559184377965975,1.5877327356660471,1.550131598132386,2.079633783755506,1.032232908822431,1559
8,34,9,buy_sell,0.01,0.5497747647914897,0.34174508126603936,1.0980364194187497,0.15476693057497218,1.583280612808518,1.574662332107544,3.552275429570323,1.0318008481695957,2338
16,34,5,buy_sell,0.01,0.5316872757841473,0.3327541268462207,1.0982383620680818,0.15990234867492287,1.5542543915563551,1.551700782210683,3.3250748359240996,1.0311551876082081,2302
16,21,13,buy_sell,0.01,0.5199783635948253,0.35864022662889516,1.1044619738674712,0.1992299551984642,1.5479730430917367,1.5209994306957804,2.6099406742166136,1.0312471239035435,1765
8,21,13,buy_sell,0.02,0.5502186401467543,0.35559486952675806,1.097720809293409,0.16109467107651043,1.5431837167209952,1.5008566929833345,3.4154987031534585,1.0309298070488189,2261
8,26,13,buy_sell,0.01,0.5153894950066097,0.3464566929133858,1.0937776646871549,0.2013512579030303,1.5181655092098814,1.5025955136630682,2.5596537134862034,1.0304922917349282,2159
12,26,13,buy_sell,0.01,0.4985409684262146,0.35032537960954446,1.1002264873653627,0.18601374731787104,1.4962162096678346,1.4715179090153692,2.680129698017851,1.030169136335286,1844
8,21,13,buy_sell,0.03,0.5179026566504593,0.35515258735072974,1.0924701819866607,0.16566867182766898,1.469497045605214,1.4225281430379957,3.1261351403190414,1.029488202458458,2261
12,21,9,buy_sell,0.02,0.5128086712349045,0.3541383989145183,1.0920624094781453,0.17317638196748042,1.4672373737054407,1.4249982582854186,2.9611928913678383,1.029381353428743,2211
8,34,13,buy_sell,0.03,0.5093546246244692,0.34256055363321797,1.0966459714517747,0.18700418466350352,1.4531685272782469,1.4031768604325126,2.7237605700696217,1.0292116782779095,2023
