metric,value
start,2022-07-01 00:00:00
end,2022-12-31 23:50:00
period_start,1017
period_end,26494
start_value,10000
end_value,6843.095153914999
total_return,-0.3156904846085001
benchmark_return,-0.16279643367948504
max_gross_exposure,1.5455004013440792
total_fees_paid,0
max_drawdown,0.45450059697682565
max_drawdown_duration,176 days 22:10:00
total_trades,3353
total_closed_trades,3353
total_open_trades,0
open_trade_pnl,0
win_rate,0.3250820161049806
best_trade,5.974682646750844
worst_trade,-4.841216678263498
avg_winning_trade,0.5579116609321723
avg_losing_trade,-0.2824629198331605
avg_winning_trade_duration,0 days 02:17:50.642201834
avg_losing_trade_duration,0 days 00:49:29.774635439
profit_factor,0.9455416684053808
expectancy,-0.9415165064375266
sharpe_ratio,-1.1383269997541658
calmar_ratio,-1.1677625428567675
omega_ratio,0.98366529931919
sortino_ratio,-1.5380760868387247
exit_reasons_signal,3172
exit_reasons_trailing_stop,180
exit_reasons_end_of_data,1
