entry_time,entry_price,exit_time,exit_price,size,type,pnl,pnl_pct,exit_reason
2020-01-01 00:20:00,7154.66,2020-01-03 04:20:00,7007.84,0.13976904562900264,short,20.520891279250126,0.020520891279250126,trailing_stop
2020-01-03 07:00:00,7193.14,2020-01-03 10:00:00,7337.67,0.1393066295286794,short,-20.13398716578,-0.020092755041609053,trailing_stop
2020-01-03 10:40:00,7293.3,2020-01-03 17:00:00,7386.74,0.137117448947849,short,-12.812254429686956,-0.012811758737471323,trailing_stop
2020-01-03 18:20:00,7342.49,2020-01-05 01:20:00,7444.87,0.13602435481265596,short,-13.926173445719732,-0.013943498731356816,trailing_stop
2020-01-05 03:00:00,7438.75,2020-01-06 02:10:00,7511.25,0.13407694137103765,short,-9.72057824940023,-0.00974626113258276,trailing_stop
2020-01-06 04:30:00,7516.85,2020-01-06 22:30:00,7663.33,0.13255456604812738,short,-19.41659283472964,-0.019486886129163092,trailing_stop
2020-01-07 01:40:00,7888.25,2020-01-07 16:40:00,7922.06,0.12606739524170676,short,-4.262338633122156,-0.004286121763382296,trailing_stop
2020-01-07 20:40:00,8103.33,2020-01-07 23:40:00,8142.98,0.1226686925809613,short,-4.863813660835071,-0.004893050141114781,trailing_stop
2020-01-07 23:40:00,8142.98,2020-01-08 03:30:00,8262.36,0.1220116609995355,long,14.565752090124672,0.014660480561170605,trailing_stop
2020-01-08 10:10:00,8351.63,2020-01-08 16:30:00,8210.09,0.11913783183582248,long,-16.8627687180422,-0.016947589871677632,trailing_stop
2020-01-08 19:20:00,8050.37,2020-01-09 05:40:00,7934.0,0.12338672801662605,long,-14.35851353929476,-0.014455236218956382,trailing_stop
2020-01-09 06:20:00,7929.91,2020-01-09 20:10:00,7987.18,0.1250799772342027,short,-7.163330296202843,-0.007222023957396797,trailing_stop
2020-01-09 21:10:00,7786.31,2020-01-10 12:10:00,7841.0,0.12729478138420586,short,-6.961751593902167,-0.00702386624729809,trailing_stop
2020-01-10 16:30:00,8005.01,2020-01-10 18:20:00,8088.23,0.1237300708031927,short,-10.296816492241616,-0.010395989511568298,trailing_stop
2020-01-10 18:20:00,8088.23,2020-01-11 05:20:00,8070.03,0.12232970284364336,long,-2.226400591754287,-0.0022501832910290405,trailing_stop
2020-01-11 06:40:00,8112.48,2020-01-11 22:10:00,8027.11,0.1219365881175505,long,-10.409726527595273,-0.010523292507346692,trailing_stop
2020-01-12 00:50:00,8058.18,2020-01-15 04:10:00,8620.99,0.1226290750168284,long,69.01686971022113,0.06984331449533263,trailing_stop
2020-01-15 06:20:00,8630.01,2020-01-16 01:30:00,8683.42,0.11530332487333486,long,6.1583505814847985,0.006188868842562159,trailing_stop
2020-01-16 04:00:00,8630.35,2020-01-17 13:00:00,8801.02,0.1153701393046953,long,19.690221675132353,0.019775559508015326,trailing_stop
2020-01-17 15:30:00,8823.47,2020-01-19 11:10:00,8593.77,0.11306818110287568,long,-25.97176119933042,-0.026032841954469036,trailing_stop
2020-01-19 13:40:00,8610.25,2020-01-20 12:30:00,8563.3,0.11556650826582936,long,-5.425847563080772,-0.005452803344850699,trailing_stop
2020-01-20 14:00:00,8592.56,2020-01-23 05:30:00,8495.06,0.11574128583792831,long,-11.28477536919801,-0.011347025799063376,trailing_stop
2020-01-23 07:20:00,8547.28,2020-01-23 09:50:00,8410.94,0.11622240824012192,long,-15.84576313945824,-0.015951273387557228,trailing_stop
2020-01-23 11:30:00,8414.18,2020-01-24 09:50:00,8254.01,0.11787255432955837,long,-18.879647026965372,-0.019035723029457424,trailing_stop
2020-01-24 11:30:00,8306.77,2020-01-25 00:50:00,8310.84,0.11916941536674144,long,0.485019520542603,0.0004899618022407878,trailing_stop
2020-01-25 02:50:00,8293.19,2020-01-28 15:40:00,8960.0,0.11937040227440117,long,79.59737794059339,0.08040452467627046,trailing_stop
2020-01-28 18:10:00,9012.09,2020-01-30 00:30:00,9217.05,0.11073138020504683,long,22.695503686826303,0.022742782195916723,trailing_stop
2020-01-30 01:50:00,9260.44,2020-01-31 05:40:00,9362.28,0.10800682414666939,long,10.999414971096826,0.010997317622056852,trailing_stop
2020-01-31 07:00:00,9359.93,2020-02-02 02:40:00,9245.01,0.10697629748276885,long,-12.293716106719804,-0.012277869599452141,trailing_stop
2020-02-02 04:40:00,9296.98,2020-02-03 03:30:00,9351.52,0.10756840226473767,long,5.866780659518886,0.005866421138907567,trailing_stop
2020-02-03 05:10:00,9391.9,2020-02-04 09:00:00,9218.77,0.1065437198600041,long,-18.445914219362425,-0.018433969697292264,trailing_stop
2020-02-04 11:30:00,9212.58,2020-02-10 06:00:00,9826.48,0.10841733489763306,long,66.55740189365689,0.06663714182129214,trailing_stop
2020-02-10 07:30:00,9997.64,2020-02-10 09:30:00,9788.39,0.10056964556841436,long,-21.044198335190703,-0.02092993946571391,trailing_stop
2020-02-10 10:50:00,9839.39,2020-02-13 08:20:00,10267.01,0.10197326170495152,long,43.60580617027145,0.0434600112405343,trailing_stop
2020-02-13 10:40:00,10192.61,2020-02-13 14:00:00,10187.93,0.09886724520060221,long,-0.4626987075388471,-0.000459156192574845,trailing_stop
2020-02-13 15:10:00,10247.33,2020-02-14 16:30:00,10314.0,0.09833478596213416,short,-6.555980180095491,-0.006506084999702368,trailing_stop
2020-02-14 16:30:00,10314.0,2020-02-15 15:50:00,10185.12,0.09763558311182341,long,-12.583273951451723,-0.012495636998254721,trailing_stop
2020-02-15 18:40:00,9882.68,2020-02-16 16:20:00,9811.21,0.10176946706968165,long,-7.2734638114702665,-0.007231843993734611,trailing_stop
2020-02-16 18:20:00,9838.8,2020-02-17 03:40:00,9800.83,0.10214942172206513,long,-3.8786135427867463,-0.0038592104728218226,trailing_stop
2020-02-17 05:40:00,9799.99,2020-02-17 13:30:00,9607.41,0.10251437696209646,long,-19.74221871536053,-0.01965104046024536,trailing_stop
2020-02-17 13:30:00,9607.41,2020-02-17 16:50:00,9735.62,0.10436378245679528,short,-13.380480548785822,-0.013344907732677273,trailing_stop
2020-02-17 17:50:00,9611.15,2020-02-18 05:00:00,9808.77,0.10418395292533787,short,-20.588832777105353,-0.020561535300146268,trailing_stop
2020-02-18 06:30:00,9784.57,2020-02-18 15:30:00,9848.02,0.10212699340703278,short,-6.479957731676304,-0.006484699889724406,trailing_stop
2020-02-18 19:00:00,9999.05,2020-02-18 21:10:00,10242.01,0.09987155980893016,short,-24.264794171177765,-0.024298308339292328,trailing_stop
2020-02-18 21:50:00,10115.22,2020-02-19 17:30:00,10287.79,0.0984846835452284,short,-16.995501839400216,-0.017060429728666462,trailing_stop
2020-02-19 18:20:00,10163.84,2020-02-19 22:00:00,9625.43,0.09784635438047284,short,52.68145566199037,0.05297308891127761,trailing_stop
2020-02-19 23:50:00,9627.62,2020-02-20 18:10:00,9480.76,0.10384319656079323,long,-15.250411846918155,-0.015254029552475127,trailing_stop
2020-02-20 19:00:00,9536.83,2020-02-24 02:40:00,9741.19,0.10467186632119188,long,21.390742601398834,0.02142850402072812,trailing_stop
2020-02-24 05:00:00,9768.2,2020-02-24 17:10:00,9625.01,0.10241158751336707,long,-14.664315216039082,-0.014658790770049803,trailing_stop
2020-02-24 19:10:00,9602.08,2020-02-25 14:30:00,9454.22,0.10403063061612362,long,-15.3819690429001,-0.015398746938163458,trailing_stop
2020-02-25 17:50:00,9343.06,2020-02-26 01:30:00,9206.45,0.10675006269061509,long,-14.583126064164794,-0.014621547972505663,trailing_stop
2020-02-26 04:10:00,9129.59,2020-02-26 14:00:00,9068.35,0.10908638045254626,long,-6.68044993891391,-0.006707858731881693,trailing_stop
2020-02-26 18:20:00,8745.01,2020-02-27 00:40:00,8635.01,0.11380728931377669,long,-12.518801824515435,-0.012578601968436857,trailing_stop
2020-02-27 02:10:00,8664.65,2020-02-27 22:00:00,8755.43,0.11471830979201916,long,10.414128162919575,0.010477053314328987,trailing_stop
2020-02-27 23:20:00,8772.09,2020-02-28 07:50:00,8709.91,0.11343196612844952,long,-7.053199653867025,-0.007088390565988299,trailing_stop
2020-02-28 08:20:00,8778.05,2020-02-28 10:40:00,8574.85,0.11327459923221264,long,-23.017398563985484,-0.023148649187461786,trailing_stop
2020-02-28 11:30:00,8614.58,2020-02-28 17:40:00,8539.06,0.11515690328883423,long,-8.696649336372811,-0.008766533017280058,trailing_stop
2020-02-28 19:50:00,8565.46,2020-02-29 14:10:00,8600.63,0.11571575735573904,long,4.06972318620135,0.004106025829319158,trailing_stop
2020-02-29 15:30:00,8656.11,2020-03-01 16:40:00,8488.24,0.11455095456491524,long,-19.22966874281241,-0.019393237840092233,trailing_stop
2020-03-01 19:10:00,8490.0,2020-03-03 07:10:00,8753.76,0.11656568862716458,long,30.745366032300957,0.031067137809187306,trailing_stop
2020-03-03 08:40:00,8789.07,2020-03-03 15:20:00,8708.25,0.11294906435468798,long,-9.12854338114585,-0.00919551215316293,trailing_stop
2020-03-03 17:30:00,8717.03,2020-03-07 17:10:00,8975.0,0.11377778655227098,long,29.35125559688927,0.029593795134351876,trailing_stop
2020-03-07 19:40:00,8890.45,2020-03-08 03:00:00,8731.75,0.11188854380480535,long,-17.75671190182269,-0.01785061498574321,trailing_stop
2020-03-08 03:20:00,8763.26,2020-03-08 15:00:00,8581.64,0.11330986791208403,long,-20.57933821019279,-0.02072516392301504,trailing_stop
2020-03-08 17:30:00,8325.99,2020-03-08 22:40:00,8191.75,0.11901358268004529,long,-15.976383338969255,-0.016123007594292065,trailing_stop
2020-03-08 23:30:00,8210.42,2020-03-08 23:50:00,8003.0,0.12049423305072497,long,-24.992913819381382,-0.025263019431405465,trailing_stop
2020-03-09 01:30:00,8094.66,2020-03-09 04:20:00,7863.54,0.12190863724262602,long,-28.175524239515713,-0.028552156606948275,trailing_stop
2020-03-09 04:20:00,7863.54,2020-03-09 06:00:00,7937.84,0.12513338993868456,short,-9.297410872444285,-0.009448670700473347,trailing_stop
2020-03-09 06:00:00,7937.84,2020-03-09 11:10:00,7814.36,0.12384498503764237,long,-15.292378752448139,-0.015555869102929824,trailing_stop
2020-03-09 12:50:00,7840.43,2020-03-09 15:00:00,7719.79,0.1251885978391433,long,-15.102752443314287,-0.015386911177065584,trailing_stop
2020-03-09 16:10:00,7718.44,2020-03-10 15:40:00,7837.72,0.12697153348495588,long,15.14516451408562,0.015453900010883113,trailing_stop
2020-03-10 17:30:00,7905.17,2020-03-11 05:50:00,7840.41,0.12416389266303336,long,-8.040853688858068,-0.00819210719061073,trailing_stop
2020-03-11 07:40:00,7873.34,2020-03-11 15:50:00,7754.63,0.12456372949652189,long,-14.786960328532118,-0.015077463947956019,trailing_stop
2020-03-11 18:40:00,7755.11,2020-03-12 01:40:00,7791.48,0.12627208356313352,long,4.592515679191152,0.004689810976246616,trailing_stop
2020-03-12 05:00:00,7614.43,2020-03-12 06:50:00,7479.48,0.1286653301073372,long,-17.363386297985247,-0.01772292870247684,trailing_stop
2020-03-12 08:40:00,7409.2,2020-03-12 10:20:00,7247.78,0.13199492669915955,long,-21.306621067778345,-0.02178642768450036,trailing_stop
2020-03-12 10:30:00,7200.13,2020-03-12 11:00:00,6243.77,0.13553174023144512,short,129.61713508774483,0.13282537954175824,trailing_stop
2020-03-12 13:00:00,6064.57,2020-03-12 13:40:00,5866.47,0.16304665661397422,long,-32.2995426752282,-0.032665135368212334,trailing_stop
2020-03-12 19:00:00,5987.76,2020-03-12 22:00:00,5805.8,0.1645987661552712,short,29.950391489613153,0.030388659532112183,trailing_stop
2020-03-12 22:10:00,5872.12,2020-03-12 22:50:00,5728.99,0.16835026313884052,long,-24.09597316306226,-0.024374501883476514,trailing_stop
2020-03-12 23:20:00,5503.44,2020-03-13 00:00:00,4857.1,0.1791903518284095,short,115.81789200077407,0.11744290843545116,trailing_stop
2020-03-13 02:40:00,5600.29,2020-03-13 02:50:00,5200.77,0.1781595487138379,long,-71.17830290215244,-0.07133916279335527,trailing_stop
2020-03-13 04:50:00,4988.17,2020-03-13 05:10:00,5219.13,0.19859533832575957,short,-45.86757933971744,-0.04630154946603665,trailing_stop
2020-03-13 07:00:00,5253.66,2020-03-13 07:10:00,5125.74,0.18768640354389748,long,-24.00884474133538,-0.024348739735727105,trailing_stop
2020-03-13 11:10:00,5372.68,2020-03-13 11:30:00,5489.33,0.18308175182000394,short,-21.356486349803394,-0.021711696955709188,trailing_stop
2020-03-13 13:30:00,5793.43,2020-03-13 14:00:00,5655.46,0.1694167389151709,long,-23.37442746812617,-0.02381490757634083,trailing_stop
2020-03-13 14:50:00,5677.78,2020-03-13 16:00:00,5239.34,0.1724558850442437,short,75.61155823879814,0.07722032202727117,trailing_stop
2020-03-13 18:00:00,5215.77,2020-03-13 18:10:00,5034.22,0.1891816032552021,long,-34.345920070981975,-0.03480789988822363,trailing_stop
2020-03-13 18:10:00,5034.22,2020-03-13 19:00:00,5011.97,0.19532184505311395,short,4.345911052431785,0.0044197512226323045,trailing_stop
2020-03-13 19:20:00,5139.84,2020-03-13 23:50:00,5520.52,0.19139267562969478,long,72.85936375871226,0.07406456232100615,trailing_stop
2020-03-13 23:50:00,5520.52,2020-03-14 00:00:00,5630.93,0.17951455049241768,short,-19.820201519867812,-0.01999992754305751,trailing_stop
2020-03-14 03:00:00,5586.76,2020-03-14 04:10:00,5482.81,0.17703134663604933,long,-18.402408482817297,-0.018606491061008496,trailing_stop
2020-03-14 04:20:00,5487.08,2020-03-14 10:30:00,5370.62,0.17991197600256115,short,20.95254872525828,0.02122440350787669,trailing_stop
2020-03-14 10:40:00,5374.04,2020-03-14 12:10:00,5391.29,0.18408621077562856,long,3.175487135879593,0.0032098756242975495,trailing_stop
2020-03-14 13:20:00,5379.99,2020-03-14 16:20:00,5451.08,0.1839416446629542,short,-13.076411519089442,-0.013213779207768074,trailing_stop
2020-03-14 20:00:00,5400.0,2020-03-14 23:40:00,5190.85,0.18301788291080334,short,38.27819021079445,0.038731481481481415,trailing_stop
2020-03-15 00:30:00,5183.3,2020-03-15 12:30:00,5340.8,0.19140786501638288,long,30.146738740080302,0.03038604749869774,trailing_stop
2020-03-15 12:40:00,5317.47,2020-03-15 17:30:00,5378.71,0.18714521391064273,short,-11.46077289988772,-0.01151675514859506,trailing_stop
2020-03-15 17:30:00,5378.71,2020-03-15 20:10:00,5269.84,0.18480137120674603,long,-20.11932528327842,-0.020240912783920286,trailing_stop
2020-03-15 20:10:00,5269.84,2020-03-15 21:10:00,5346.69,0.18823741343097875,short,-14.466045222170614,-0.014582985441683136,trailing_stop
2020-03-15 21:20:00,5457.71,2020-03-15 22:10:00,5763.22,0.181492685810146,long,55.44783044185774,0.05597769027669118,trailing_stop
2020-03-15 22:40:00,5344.22,2020-03-16 02:10:00,5321.88,0.1863843983438327,short,4.16382745900125,0.0041802171317797815,trailing_stop
2020-03-16 02:10:00,5321.88,2020-03-16 05:50:00,5162.94,0.187245035976568,long,-29.76072601811581,-0.029865385916255253,trailing_stop
2020-03-16 09:00:00,4895.16,2020-03-16 10:10:00,4525.76,0.2029595640308317,long,-74.97326295298916,-0.07546229336732602,trailing_stop
2020-03-16 10:10:00,4525.76,2020-03-16 11:10:00,4533.99,0.21786886913266879,short,-1.793060792961769,-0.0018184791062715573,trailing_stop
